File Name,2018-11-06,,,
Date,2018-11-06,,,
Time,11:23:56,,,
Test Info,User had no comments,,,
Directory,C:\emms\test\2018-11-06.csv,,,
,,,,
System TIMESTAMP,EKMPOWER,EMMS POWER,EKM Energy Used,EMMS Energy Used
3s,880,3000,0,0
6s,882,3000,0,0
9s,880,3000,0,0
12s,882,3000,0,0
15s,880,3000,0,0
18s,882,3000,0,0
21s,880,3000,0,0
25s,880,3000,0,0
28s,880,3000,0,0
31s,880,3000,0,0
34s,882,3000,0,0
37s,882,3000,0,0
40s,880,3000,0,0
43s,880,3000,0,0
46s,880,3000,0,0
50s,880,3000,0,0
53s,880,3000,0,0
56s,880,3000,0,0
59s,878,3000,0,0
"1m, 2s",878,3000,1,0
"1m, 5s",876,3000,1,0
"1m, 8s",874,3000,1,0
"1m, 11s",876,3000,1,0
"1m, 15s",876,3000,1,0
"1m, 18s",878,3000,1,0
"1m, 21s",878,3000,1,0
"1m, 24s",878,3000,1,0
"1m, 27s",880,3000,1,0
"1m, 30s",880,3000,1,0
"1m, 33s",880,3000,1,0
"1m, 36s",882,3000,1,0
"1m, 39s",882,3000,1,0
"1m, 43s",882,3000,1,0
"1m, 46s",884,3000,1,0
"1m, 49s",884,3000,1,0
"1m, 52s",882,3000,1,0
"1m, 55s",884,3000,1,0
"1m, 58s",882,3000,1,0
"2m, 1s",882,3000,1,0
"2m, 5s",882,3000,1,0
"2m, 8s",882,3000,1,0
"2m, 11s",882,3000,1,0
"2m, 14s",884,3000,1,0
"2m, 17s",884,3000,1,0
"2m, 20s",884,3000,1,0
"2m, 23s",884,3000,1,0
"2m, 26s",884,3000,1,0
"2m, 30s",884,3000,1,0
"2m, 33s",884,3000,1,0
"2m, 36s",884,3000,1,0
"2m, 39s",884,3000,1,0
"2m, 42s",884,3000,1,0
"2m, 45s",884,3000,1,0
"2m, 48s",884,3000,1,0
