File Name,LongTermTest3,,,,,
Date,11/6/2018,,,,,
Time,11:28:26,,,,,
Test Info,\,,,,,
Directory,C:\emms\test\LongTermTest3.csv,,,,,
,,,,,,
System TIMESTAMP,EKMPOWER,EMMS POWER,EKM Energy Used,EMMS Energy Used,,
"2h, 26m, 41s",886,3000,22,0,,
"2h, 27m, 43s",886,3000,22,0,,
"2h, 28m, 44s",886,3000,22,0,,
"2h, 29m, 45s",888,3000,22,0,,
"2h, 30m, 46s",890,3000,22,0,,
"2h, 31m, 47s",888,3000,22,0,,
"2h, 32m, 48s",888,3000,23,0,,
"2h, 33m, 49s",886,3000,23,0,,
"2h, 34m, 50s",886,3000,23,0,,
"2h, 35m, 52s",888,3000,23,0,,
"2h, 36m, 53s",888,3000,23,0,,
"2h, 37m, 54s",888,3000,23,0,,
"2h, 38m, 55s",888,3000,23,0,,
"2h, 39m, 56s",888,3000,24,0,,
"2h, 40m, 57s",888,3000,24,0,,
"2h, 41m, 58s",888,3000,24,0,,
"2h, 42m, 59s",888,3000,24,0,,
"2h, 44m, 1s",888,3000,24,0,,
"2h, 45m, 2s",886,3000,24,0,,
"2h, 46m, 3s",888,3000,25,0,,
"2h, 47m, 4s",888,3000,25,0,,
"2h, 48m, 5s",888,3000,25,0,,
"2h, 49m, 6s",888,3000,25,0,,
"2h, 50m, 7s",890,3000,25,0,,
"2h, 51m, 8s",890,3000,25,0,,
"2h, 52m, 10s",888,3000,25,0,,
"2h, 53m, 11s",890,3000,26,0,,
"2h, 54m, 12s",888,3000,26,0,,
"2h, 55m, 13s",890,3000,26,0,,
"2h, 56m, 14s",888,3000,26,0,,
"2h, 57m, 15s",888,3000,26,0,,
"2h, 58m, 16s",888,3000,26,0,,
"2h, 59m, 18s",888,3000,26,0,,
"3h, 19s",890,3000,27,0,,
"3h, 1m, 20s",888,3000,27,0,,
"3h, 2m, 21s",888,3000,27,0,,
"3h, 3m, 22s",888,3000,27,0,,
"3h, 4m, 23s",888,3000,27,0,,
"3h, 5m, 24s",888,3000,27,0,,
"3h, 6m, 25s",888,3000,28,0,,
"3h, 7m, 27s",890,3000,28,0,,
"3h, 8m, 28s",890,3000,28,0,,
"3h, 9m, 29s",888,3000,28,0,,
"3h, 10m, 30s",888,3000,28,0,,
"3h, 11m, 31s",888,3000,28,0,,
"3h, 12m, 32s",888,3000,28,0,,
"3h, 13m, 33s",890,3000,29,0,,
"3h, 14m, 34s",890,3000,29,0,,
"3h, 15m, 36s",890,3000,29,0,,
"3h, 16m, 37s",888,3000,29,0,,
"3h, 17m, 38s",890,3000,29,0,,
"3h, 18m, 39s",888,3000,29,0,,
"3h, 19m, 40s",890,3000,29,0,,
"3h, 20m, 41s",890,3000,30,0,,
"3h, 21m, 42s",888,3000,30,0,,
"3h, 22m, 44s",888,3000,30,0,,
"3h, 23m, 45s",890,3000,30,0,,
"3h, 24m, 46s",890,3000,30,0,,
"3h, 25m, 47s",890,3000,30,0,,
"3h, 26m, 48s",880,3000,31,0,,
"3h, 27m, 49s",882,3000,31,0,,
"3h, 28m, 50s",882,3000,31,0,,
"3h, 29m, 51s",880,3000,31,0,,
"3h, 30m, 53s",880,3000,31,0,,
"3h, 31m, 54s",882,3000,31,0,,
"3h, 32m, 55s",882,3000,31,0,,
"3h, 33m, 56s",882,3000,32,0,,
"3h, 34m, 57s",882,3000,32,0,,
"3h, 35m, 58s",882,3000,32,0,,
"3h, 36m, 59s",880,3000,32,0,,
"3h, 38m, 1s",880,3000,32,0,,
"3h, 39m, 2s",880,3000,32,0,,
"3h, 40m, 3s",878,3000,33,0,,
"3h, 41m, 4s",878,3000,33,0,,
"3h, 42m, 5s",878,3000,33,0,,
"3h, 43m, 6s",878,3000,33,0,,
"3h, 44m, 7s",880,3000,33,0,,
"3h, 45m, 8s",878,3000,33,0,,
"3h, 46m, 10s",878,3000,33,0,,
"3h, 47m, 11s",878,3000,34,0,,
"3h, 48m, 12s",878,3000,34,0,,
"3h, 49m, 13s",878,3000,34,0,,
"3h, 50m, 14s",876,3000,34,0,,
"3h, 51m, 15s",878,3000,34,0,,
"3h, 52m, 16s",880,3000,34,0,,
"3h, 53m, 18s",880,3000,34,0,,
"3h, 54m, 19s",880,3000,35,0,,
"3h, 55m, 20s",878,3000,35,0,,
"3h, 56m, 21s",878,3000,35,0,,
"3h, 57m, 22s",878,3000,35,0,,
"3h, 58m, 23s",878,3000,35,0,,
"3h, 59m, 24s",876,3000,35,0,,
"4h, 25s",880,3000,35,0,,
"4h, 1m, 26s",878,3000,36,0,,
"4h, 2m, 28s",878,3000,36,0,,
"4h, 3m, 29s",878,3000,36,0,,
"4h, 4m, 30s",878,3000,36,0,,
"4h, 5m, 31s",878,3000,36,0,,
"4h, 6m, 32s",878,3000,36,0,,
"4h, 7m, 33s",878,3000,37,0,,
"4h, 8m, 34s",876,3000,37,0,,
"4h, 9m, 36s",880,3000,37,0,,
"4h, 10m, 37s",878,3000,37,0,,
"4h, 11m, 38s",878,3000,37,0,,
"4h, 12m, 39s",876,3000,37,0,,
"4h, 13m, 40s",878,3000,37,0,,
"4h, 14m, 41s",878,3000,38,0,,
"4h, 15m, 42s",878,3000,38,0,,
"4h, 16m, 43s",872,3000,38,0,,
"4h, 17m, 45s",876,3000,38,0,,
"4h, 18m, 46s",876,3000,38,0,,
"4h, 19m, 47s",878,3000,38,0,,
"4h, 20m, 48s",880,3000,38,0,,
"4h, 21m, 49s",880,3000,39,0,,
"4h, 22m, 50s",880,3000,39,0,,
"4h, 23m, 51s",880,3000,39,0,,
"4h, 24m, 52s",878,3000,39,0,,
"4h, 25m, 54s",878,3000,39,0,,
"4h, 26m, 55s",880,3000,39,0,,
"4h, 27m, 56s",882,3000,40,0,,
"4h, 28m, 57s",880,3000,40,0,,
"4h, 29m, 58s",878,3000,40,0,,
"4h, 30m, 59s",876,3000,40,0,,
"4h, 32m, 0s",878,3000,40,0,,
"4h, 33m, 2s",878,3000,40,0,,
"4h, 34m, 3s",880,3000,40,0,,
"4h, 35m, 4s",880,3000,41,0,,
"4h, 36m, 5s",878,3000,41,0,,
"4h, 37m, 6s",878,3000,41,0,,
"4h, 38m, 7s",880,3000,41,0,,
"4h, 39m, 8s",878,3000,41,0,,
"4h, 40m, 9s",880,3000,41,0,,
"4h, 41m, 10s",878,3000,41,0,,
"4h, 42m, 12s",878,3000,42,0,,
"4h, 43m, 13s",880,3000,42,0,,
"4h, 44m, 14s",880,3000,42,0,,
"4h, 45m, 15s",880,3000,42,0,,
"4h, 46m, 16s",878,3000,42,0,,
"4h, 47m, 17s",880,3000,42,0,,
"4h, 48m, 18s",880,3000,43,0,,
"4h, 49m, 19s",876,3000,43,0,,
"4h, 50m, 20s",880,3000,43,0,,
"4h, 51m, 22s",880,3000,43,0,,
"4h, 52m, 23s",880,3000,43,0,,
"4h, 53m, 24s",880,3000,43,0,,
"4h, 54m, 25s",880,3000,43,0,,
"4h, 55m, 26s",880,3000,44,0,,
"4h, 56m, 27s",880,3000,44,0,,
"4h, 57m, 28s",876,3000,44,0,,
"4h, 58m, 29s",878,3000,44,0,,
"4h, 59m, 31s",878,3000,44,0,,
"5h, 32s",878,3000,44,0,,
"5h, 1m, 33s",878,3000,44,0,,
"5h, 2m, 34s",878,3000,45,0,,
"5h, 3m, 35s",878,3000,45,0,,
"5h, 4m, 36s",876,3000,45,0,,
