File Name,2018-10-25,,,
Date,2018-10-25,,,
Test Info,User had no comments,,,
Directory,C:\emms\test\2018-10-25.csv,,,
,,,,
System TIMESTAMP,EKMPOWER,EMMS POWER,EKM Energy Used,EMMS Energy Used
6.2,946,3000,0,0
12.4,944,3000,0,0
18.5,944,3000,0,0
24.6,944,3000,0,0
30.7,944,3000,0,0
36.8,942,3000,0,0
42.9,942,3000,0,0
49.0,946,3000,0,0
55.1,942,3000,0,0
61.2,942,3000,0,0
67.4,942,3000,0,0
73.5,942,3000,0,0
79.6,940,3000,0,0
85.7,942,3000,0,0
91.8,940,3000,0,0
97.9,940,3000,0,0
104.0,940,3000,0,0
110.1,940,3000,0,0
116.2,942,3000,0,0
122.3,942,3000,0,0
128.4,942,3000,0,0
134.6,944,3000,0,0
140.7,942,3000,0,0
146.8,942,3000,0,0
152.9,940,3000,0,0
159.1,942,3000,0,0
165.2,942,3000,0,0
171.3,940,3000,0,0
177.4,940,3000,0,0
183.6,938,3000,0,0
189.7,938,3000,0,0
195.8,940,3000,0,0
201.9,940,3000,0,0
208.0,938,3000,0,0
214.1,938,3000,0,0
220.3,938,3000,0,0
226.3,938,3000,0,0
232.5,940,3000,0,0
238.6,940,3000,0,0
244.8,940,3000,0,0
250.9,938,3000,0,0
257.0,938,3000,0,0
263.1,940,3000,0,0
269.2,922,3000,0,0
275.4,922,3000,0,0
281.5,924,3000,0,0
287.6,938,3000,0,0
293.8,948,3000,1,0
299.9,948,3000,1,0
306.0,948,3000,1,0
312.2,948,3000,1,0
318.3,948,3000,1,0
324.5,948,3000,1,0
330.6,518,3000,1,0
336.7,516,3000,1,0
342.8,288,3000,1,0
348.9,22,3000,1,0
355.1,22,3000,1,0
361.2,22,3000,1,0
367.3,20,3000,1,0
373.4,20,3000,1,0
379.5,20,3000,1,0
385.6,20,3000,1,0
391.8,20,3000,1,0
397.9,0,3000,1,0
404.0,0,3000,1,0
410.2,0,3000,1,0
416.3,892,3000,1,0
422.4,892,3000,1,0
428.5,894,3000,1,0
434.6,894,3000,1,0
440.7,896,3000,1,0
446.9,898,3000,1,0
453.0,898,3000,1,0
459.1,898,3000,1,0
465.2,898,3000,1,0
471.3,898,3000,1,0
477.5,898,3000,1,0
483.6,898,3000,1,0
489.7,896,3000,1,0
495.8,896,3000,1,0
501.9,896,3000,1,0
508.0,898,3000,1,0
514.1,896,3000,1,0
520.2,896,3000,1,0
526.4,898,3000,1,0
532.5,898,3000,1,0
538.6,898,3000,1,0
544.7,896,3000,1,0
550.9,896,3000,1,0
557.0,896,3000,1,0
563.1,898,3000,1,0
569.2,898,3000,1,0
575.3,898,3000,1,0
581.3,896,3000,1,0
587.5,898,3000,1,0
593.6,898,3000,1,0
599.8,898,3000,1,0
605.9,898,3000,1,0
612.0,898,3000,1,0
618.1,898,3000,1,0
624.2,896,3000,1,0
630.3,898,3000,1,0
636.4,898,3000,1,0
642.6,898,3000,1,0
648.7,896,3000,1,0
654.9,898,3000,1,0
661.0,898,3000,1,0
667.1,898,3000,1,0
673.3,900,3000,1,0
679.4,900,3000,1,0
685.5,900,3000,1,0
691.6,900,3000,1,0
697.8,898,3000,1,0
704.0,900,3000,1,0
710.1,900,3000,1,0
716.2,900,3000,1,0
722.3,900,3000,1,0
728.5,900,3000,1,0
734.6,900,3000,1,0
740.8,900,3000,1,0
746.9,900,3000,1,0
753.0,898,3000,1,0
759.1,900,3000,1,0
765.2,898,3000,1,0
771.4,898,3000,2,0
777.5,898,3000,2,0
783.7,898,3000,2,0
789.8,898,3000,2,0
795.9,898,3000,2,0
802.1,898,3000,2,0
808.2,898,3000,2,0
814.3,896,3000,2,0
820.4,896,3000,2,0
826.5,896,3000,2,0
832.7,896,3000,2,0
838.8,896,3000,2,0
844.9,898,3000,2,0
851.0,896,3000,2,0
857.1,898,3000,2,0
863.2,898,3000,2,0
869.3,896,3000,2,0
875.5,896,3000,2,0
881.6,898,3000,2,0
887.7,898,3000,2,0
893.8,896,3000,2,0
899.9,896,3000,2,0
906.0,896,3000,2,0
912.2,896,3000,2,0
918.3,896,3000,2,0
924.4,896,3000,2,0
930.6,896,3000,2,0
936.7,896,3000,2,0
942.8,896,3000,2,0
948.9,896,3000,2,0
955.0,896,3000,2,0
961.2,896,3000,2,0
967.3,896,3000,2,0
973.4,896,3000,2,0
979.6,896,3000,2,0
985.7,896,3000,2,0
991.9,896,3000,2,0
998.0,896,3000,2,0
1004.1,894,3000,2,0
1010.3,894,3000,2,0
1016.4,894,3000,2,0
1022.5,894,3000,2,0
1028.6,894,3000,2,0
1034.7,894,3000,2,0
1040.8,892,3000,2,0
1046.9,894,3000,2,0
1053.0,892,3000,2,0
1059.1,894,3000,2,0
1065.3,892,3000,2,0
1071.4,894,3000,2,0
1077.6,894,3000,2,0
1083.7,892,3000,2,0
1089.8,894,3000,2,0
1096.0,896,3000,2,0
1102.1,896,3000,2,0
1108.2,896,3000,2,0
1114.4,896,3000,2,0
1120.6,896,3000,2,0
1126.7,898,3000,2,0
1132.8,890,3000,2,0
