File Name,2018-11-08,,,
Date,2018-11-08,,,
Time,11:33:42,,,
Test Info,User had no comments,,,
Directory,C:\emms\test\2018-11-08.csv,,,
,,,,
System TIMESTAMP,EKMPOWER,EMMS POWER,EKM Energy Used,EMMS Energy Used
4s,900,3000,0,0
8s,900,3000,0,0
12s,902,3000,0,0
15s,902,3000,0,0
18s,902,3000,0,0
21s,902,3000,0,0
24s,902,3000,0,0
27s,902,3000,0,0
30s,902,3000,0,0
33s,902,3000,0,0
36s,902,3000,0,0
39s,902,3000,0,0
42s,902,3000,0,0
46s,902,3000,0,0
49s,902,3000,0,0
52s,902,3000,0,0
55s,902,3000,0,0
58s,902,3000,0,0
"1m, 1s",902,3000,0,0
"1m, 4s",902,3000,0,0
"1m, 7s",902,3000,0,0
"1m, 10s",902,3000,0,0
"1m, 13s",902,3000,0,0
"1m, 16s",902,3000,0,0
"1m, 19s",902,3000,0,0
"1m, 22s",902,3000,0,0
"1m, 25s",902,3000,0,0
"1m, 28s",902,3000,0,0
"1m, 31s",902,3000,0,0
"1m, 34s",902,3000,0,0
"1m, 37s",902,3000,0,0
"1m, 40s",902,3000,0,0
"1m, 43s",902,3000,0,0
"1m, 46s",902,3000,0,0
"1m, 49s",902,3000,0,0
"1m, 52s",902,3000,0,0
"1m, 55s",902,3000,0,0
"1m, 59s",902,3000,0,0
"2m, 2s",902,3000,0,0
"2m, 5s",902,3000,0,0
"2m, 8s",902,3000,0,0
"2m, 11s",902,3000,0,0
"2m, 14s",902,3000,0,0
"2m, 17s",902,3000,0,0
"2m, 20s",902,3000,0,0
"2m, 23s",902,3000,0,0
"2m, 26s",902,3000,0,0
"2m, 29s",902,3000,0,0
